time;distance;;f';;f''
1,458052;0,2351464;1,4636305;0,036927489;1,46919725;0,411789801
1,469209;0,2355584;1,474764;0,041512151;1,480487;0,430855889
1,480319;0,2360196;1,48621;0,046443728;1,49185125;-1,496826543
1,492101;0,2365668;1,4974925;0,029555782;1,5028955;-1,679735372
1,502884;0,2368855;1,5082985;0,011404562;1,5138115;1,194446999
1,513713;0,237009;1,5193245;0,024574534;1,524962;0,334692695
1,524936;0,2372848;1,5305995;0,028348195;1,53630825;0,772257985
1,536263;0,2376059;1,542017;0,03716545;1,54780975;0,028414056
1,547771;0,2380336;1,5536025;0,037494641;1,55906475;-0,485459132
1,559434;0,2384709;1,564527;0,032191243;1,56994625;-0,766866722
1,56962;0,2387988;1,5753655;0,023879558;1,5808755;-0,154025458
1,581111;0,2390732;1,5863855;0,022182197;1,59183875;-0,977285093
1,59166;0,2393072;1,597292;0,011523438;1,60288925;1,33132599
1,602924;0,239437;1,6084865;0,026426966;1,6140885;0,442389415
1,614049;0,239731;1,6196905;0,031383497;1,625249;-0,388366999
1,625332;0,2400851;1,6308075;0,027066021;1,6362795;0,356565375
1,636283;0,2403815;1,6417515;0,030968273;1,64728175;-1,556573805
1,64722;0,2407202;1,652812;0,013751788;1,65832025;2,357860984
1,658404;0,240874;1,6638285;0,039727164;1,6693075;-2,571575
1,669253;0,241305;1,6747865;0,011547845;1,6803265;-0,560572755
1,68032;0,2414328;1,6858665;0,005336699;1,6914195;0,974682739
1,691413;0,241492;1,6969725;0,016161525;1,70251525;0,745062827
1,702532;0,2416717;1,708058;0,024420919;1,7135655;-1,004715261
1,713584;0,2419416;1,719073;0,013353981;1,724678;-0,243217486
1,724562;0,2420882;1,730283;0,010627513;1,7357965;2,23315785
1,736004;0,2422098;1,74131;0,035252544;1,74678075;-1,946385193
1,746616;0,2425839;1,7522515;0,013956171;1,75781025;0,170515689
1,757887;0,2427412;1,763369;0,015851879;1,7689095;1,029863571
1,768851;0,242915;1,77445;0,027263797;1,78006375;-0,332377875
1,780049;0,2432203;1,7856775;0,023532025;1,79131375;-0,165269058
1,791306;0,2434852;1,79695;0,021669029;1,80256625;1,428207657
1,802594;0,2437298;1,8081825;0,037711372;1,8137805;2,415254731
1,813771;0,2441513;1,8193785;0,064752564;1,82496;-4,477597047
1,824986;0,2448775;1,8305415;0,014769148;1,8361015;1,088721437
1,836097;0,2450416;1,8416615;0,02687573;1,847195;-0,786317213
1,847226;0,2453407;1,8527285;0,018173557;1,85825225;0,757898236
1,858231;0,2455407;1,863776;0,026546438;1,86930675;2,750810715
1,869321;0,2458351;1,8748375;0,056974531;1,88042425;-2,804289788
1,880354;0,2464637;1,886011;0,025640799;1,891544;-0,177778049
1,891668;0,2467538;1,897077;0,023673507;1,90257975;-0,07693793
1,902486;0,2470099;1,9080825;0,022826767;1,9136495;-0,892930742
1,913679;0,2472654;1,9192165;0,012884876;1,92472725;0,884971114
1,924754;0,2474081;1,930238;0,022638585;1,93576625;0,570445493
1,935722;0,2476564;1,9412945;0,028945716;1,9469035;-1,243668423
1,946867;0,247979;1,9525125;0,014994243;1,9580905;-0,551048412
1,958158;0,2481483;1,9636685;0,008846747;1,96920075;1,460730752
1,969179;0,2482458;1,974733;0,025009003;1,98022525;0,378677439
1,980287;0,2485236;1,9857175;0,029168585;1,991233;-1,041754303
1,991148;0,2488404;1,9967485;0,017676993;2,002295;0,660762135
2,002349;0,2490384;2,0078415;0,025006827;2,013377;3,007621366
2,013334;0,2493131;2,0189125;0,058304204;2,024446;-2,733771164
2,024491;0,2499636;2,0299795;0,028049558;2,0355105;0,935312133
2,035468;0,2502715;2,0410415;0,038395981;2,04659525;0,097067635
2,046615;0,2506995;2,052149;0,03947416;2,05770325;-0,0225873
2,057683;0,2511364;2,0632575;0,039223249;2,0687875;-2,268171585
2,068832;0,2515737;2,0743175;0,014137271;2,07981975;-0,881281384
2,079803;0,2517288;2,085322;0,00443921;2,0908235;1,188346623
2,090841;0,2517778;2,096325;0,017514588;2,1018635;1,826218307
2,101809;0,2519699;2,107402;0,037743608;2,1129255;-1,637395602
2,112995;0,2523921;2,118449;0,019655299;2,1239745;0,308626306
2,123903;0,2526065;2,1295;0,023065928;2,1351335;0,003384065
2,135097;0,2528647;2,140767;0,023104056;2,1463555;-0,35553892
2,146437;0,2531267;2,151944;0,019130198;2,15750275;0,53419105
2,157451;0,2533374;2,1630615;0,025069067;2,1687;0,046104548
2,168672;0,2536187;2,1743385;0,025588988;2,1799745;-0,583824599
2,180005;0,2539087;2,1856105;0,019008117;2,1912345;-0,792591853
2,191216;0,2541218;2,1968585;0,010093044;2,2024515;1,373968284
2,202501;0,2542357;2,2080445;0,025462253;2,21359725;-0,574255236
2,213588;0,254518;2,21915;0,019084862;2,22471;-0,551309483
2,224712;0,2547303;2,23027;0,0129543;2,235798;0,219249211
