time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;
(1.61, 0.91, 4.55);(3.07, 1.98, 3.70);;;;;;;;;
;;;;;;;;;;
0,9777445;0,214977233;0,000683577;(0.1708006000, 1.2630120000, 0.3402089000);(-0.0890371200, 1.4596040000, -0.1129431000);4,461462;4,495187;;;0,1708006;1,263012
0,9777445;0,214977233;0;(0.1708006000, 1.2630120000, 0.3402089000);(-0.0890371200, 1.4596040000, -0.1129431000);4,461462;4,495187;;;0,1708006;1,263012
0,989077;0,215583241;0,000606008;(0.1706942000, 1.2635160000, 0.3398889000);(-0.0885634400, 1.4597850000, -0.1133725000);4,461838;4,495414;;;0,1706942;1,263516
1,000569;0,216033867;0,000450626;(0.1708246000, 1.2638190000, 0.3395820000);(-0.0885634400, 1.4597850000, -0.1133725000);4,462109;4,495511;;;0,1708246;1,263819
1,022251;0,216745342;0,000711475;(0.1707886000, 1.2643710000, 0.3391344000);(-0.0885634400, 1.4597850000, -0.1133725000);4,462586;4,49578;;;0,1707886;1,264371
1,033253;0,217110044;0,000364703;(0.1709762000, 1.2645880000, 0.3389090000);(-0.0885634400, 1.4597850000, -0.1133725000);4,462755;4,495793;;;0,1709762;1,264588
1,044372;0,217538115;0,00042807;(0.1712139000, 1.2645530000, 0.3385547000);(-0.0880987600, 1.4599540000, -0.1137682000);4,46301;4,49591;;;0,1712139;1,264553
1,055352;0,217955002;0,000416887;(0.1713907000, 1.2647010000, 0.3382072000);(-0.0880987600, 1.4599540000, -0.1137682000);4,463293;4,496031;;;0,1713907;1,264701
1,0663;0,218342021;0,00038702;(0.1714253000, 1.2647720000, 0.3378285000);(-0.0876860000, 1.4601130000, -0.1141658000);4,463644;4,496281;;;0,1714253;1,264772
1,077481;0,218608738;0,000266717;(0.1714246000, 1.2649740000, 0.3376535000);(-0.0876860000, 1.4601130000, -0.1141658000);4,463825;4,49638;;;0,1714246;1,264974
1,088691;0,218851793;0,000243055;(0.1713966000, 1.2651670000, 0.3375090000);(-0.0872620900, 1.4602500000, -0.1145613000);4,463986;4,496475;;;0,1713966;1,265167
1,099553;0,219096949;0,000245156;(0.1713558000, 1.2653800000, 0.3373943000);(-0.0872620900, 1.4602500000, -0.1145613000);4,464124;4,496553;;;0,1713558;1,26538
1,110829;0,219387918;0,000290969;(0.1712356000, 1.2656300000, 0.3373078000);(-0.0865389700, 1.4604410000, -0.1153167000);4,464264;4,496655;;;0,1712356;1,26563
1,12196;0,219544908;0,00015699;(0.1711412000, 1.2657420000, 0.3372503000);(-0.0865389700, 1.4604410000, -0.1153167000);4,464357;4,496742;;;0,1711412;1,265742
1,133182;0,219754876;0,000209969;(0.1709787000, 1.2658450000, 0.3371661000);(-0.0861728500, 1.4605670000, -0.1157317000);4,464497;4,496893;;;0,1709787;1,265845
1,144328;0,219572006;0,00018287;(0.1708549000, 1.2659470000, 0.3372529000);(-0.0861728500, 1.4605670000, -0.1157317000);4,464463;4,496891;;;0,1708549;1,265947
1,144328;0,219572006;0;(0.1708549000, 1.2659470000, 0.3372529000);(-0.0859890600, 1.4606830000, -0.1161288000);4,464463;4,496891;;;0,1708549;1,265947
1,155647;0,219779203;0,000207197;(0.1707759000, 1.2661390000, 0.3372549000);(-0.0859890600, 1.4606830000, -0.1161288000);4,464502;4,496911;;;0,1707759;1,266139
