time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;
(-0.18, 0.04, 4.65);(1.61, 0.91, 4.55);;;;;;;;;
;;;;;;;;;;
0,9660992;0,195989439;0,00036006;(0.0061042900, 1.1553470000);(-0.1153614000, 1.4543340000, -0.1056976000);1,135108;1,622116;;;0,00610429;1,155347
0,9771889;0,195586605;0,000402834;(0.0062821510, 1.1549860000);(-0.1147720000, 1.4543430000, -0.1055765000);1,134782;1,621887;;;0,006282151;1,154986
0,9883915;0,195326549;0,000260056;(0.0065298680, 1.1549060000);(-0.1147720000, 1.4543430000, -0.1055765000);1,134745;1,62163;;;0,006529868;1,154906
0,9993808;0,19499332;0,000333229;(0.0067405100, 1.1546480000);(-0.1144407000, 1.4543110000, -0.1057582000);1,134526;1,621383;;;0,00674051;1,154648
1,010723;0,194663084;0,000330236;(0.0070071820, 1.1544530000);(-0.1144407000, 1.4543110000, -0.1057582000);1,134379;1,621091;;;0,007007182;1,154453
1,021902;0,194312724;0,000350361;(0.0072830320, 1.1542370000);(-0.1140115000, 1.4542960000, -0.1057310000);1,134212;1,620786;;;0,007283032;1,154237
1,032714;0,193965768;0,000346956;(0.0076175930, 1.1541450000);(-0.1140115000, 1.4542960000, -0.1057310000);1,134178;1,620442;;;0,007617593;1,154145
1,054642;0,193582065;0,000383702;(0.0079488750, 1.1539520000);(-0.1135607000, 1.4544620000, -0.1057948000);1,134043;1,620085;;;0,007948875;1,153952
1,065893;0,193644305;6,22402E-05;(0.0080109830, 1.1539560000);(-0.1135607000, 1.4544620000, -0.1057948000);1,134057;1,620025;;;0,008010983;1,153956
1,076635;0,193775986;0,00013168;(0.0081147550, 1.1540370000);(-0.1130383000, 1.4544940000, -0.1056711000);1,134155;1,619934;;;0,008114755;1,154037
1,087716;0,193877129;0,000101143;(0.0082131620, 1.1540600000);(-0.1130383000, 1.4544940000, -0.1056711000);1,134194;1,61984;;;0,008213162;1,15406
1,098946;0,193848863;2,82657E-05;(0.0081849690, 1.1540580000);(-0.1126100000, 1.4545470000, -0.1058777000);1,134188;1,619868;;;0,008184969;1,154058
1,110049;0,193765148;8,37149E-05;(0.0081769230, 1.1539750000);(-0.1126100000, 1.4545470000, -0.1058777000);1,134104;1,619863;;;0,008176923;1,153975
1,121433;0,193625736;0,000139412;(0.0083073970, 1.1539260000);(-0.1119827000, 1.4545030000, -0.1057378000);1,134078;1,619727;;;0,008307397;1,153926
