time;distance traveled;distance to prev position;controller position;camera position;distance to prev target;distance to current target;;;;;;;;;
(1.61, 0.91, 4.55);(3.07, 1.98, 3.70);;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
0,4774238;-0,136509586;0,005322491;(0.1231545000, 1.2267250000);(-0.0978994400, 1.4554940000, -0.1085820000);1,519486;3,044186;;;0,1231545;1,226725;;;0,005322366;;-0,136499384
0,4888121;-0,141470159;0,004960573;(0.1273080000, 1.2294380000);(-0.0979233400, 1.4555520000, -0.1085556000);1,515982;3,03949;;;0,127308;1,229438;;;0,004961041;;-0,141460425
0,4999897;-0,146205235;0,004735076;(0.1312467000, 1.2320660000);(-0.0979233400, 1.4555520000, -0.1085556000);1,512678;3,035023;;;0,1312467;1,232066;;;0,004734949;;-0,146195374
0,4999897;-0,146205235;0;(0.1312467000, 1.2320660000);(-0.0977185100, 1.4555520000, -0.1086004000);1,512678;3,035023;;;0,1312467;1,232066;;;0;;-0,146195374
0,51118;-0,151075283;0,004870048;(0.1351575000, 1.2349680000);(-0.0977185100, 1.4555520000, -0.1086004000);1,509467;3,030517;;;0,1351575;1,234968;;;0,004869904;;-0,14132547
0,5223785;-0,155050334;0,003975051;(0.1382590000, 1.2374540000);(-0.0973539700, 1.4557820000, -0.1087782000);1,506966;3,026899;;;0,138259;1,237454;;;0,003974858;;-0,145300329
0,5333762;-0,159591043;0,004540709;(0.1418526000, 1.2402300000);(-0.0973539700, 1.4557820000, -0.1087782000);1,504054;3,022734;;;0,1418526;1,24023;;;0,00454094;;-0,149841269
0,5554858;-0,167201442;0,007610399;(0.1474309000, 1.2454070000);(-0.0971195100, 1.4558810000, -0.1088139000);1,49974;3,016058;;;0,1474309;1,245407;;;0,007610438;;-0,157451706
0,5664855;-0,1706465;0,003445058;(0.1500925000, 1.2475940000);(-0.0971195100, 1.4558810000, -0.1088139000);1,497629;3,012943;;;0,1500925;1,247594;;;0,003444863;;-0,16089657
0,5776337;-0,174102778;0,003456278;(0.1528017000, 1.2497400000);(-0.0966247300, 1.4561680000, -0.1088553000);1,495466;3,009793;;;0,1528017;1,24974;;;0,003456166;;-0,164352735
